ign,pfid,pfid2,go_rating
VIP.CreamyVR,358B61D2259774C7,D27AA61FAA59DC11,2078
VIPxCreamy,7F68578FE3FC751E,D27AA61FAA59DC11,2078
VIPxCreamy,83502A2CA46B340E,F4930C7B865CEA6C,2078
TTV.CreamyVR,D27AA61FAA59DC11,D27AA61FAA59DC11,2078
VIPxCreamy,FD298106A0DFC78A,D27AA61FAA59DC11,2078
VIPxMac,F4930C7B865CEA6C,F4930C7B865CEA6C,2078
VIPxCreamy.VR,5E9D12A0C3C3A411,D27AA61FAA59DC11,2078
Creamy.V.R,64DA1D8BA6DBCD96,D27AA61FAA59DC11,2078
Arrogant,2090516D59D5AD89,2090516D59D5AD89,2012
TTP.Guramichi15,79ED45AD17C8483B,79ED45AD17C8483B,1946
MyVRUser12,764DD262873FF5FD,764DD262873FF5FD,1920
AngelicMessenger,68F25F83BA8EF327,68F25F83BA8EF327,1890
kill2ride001,5E017E9235A63E96,5E017E9235A63E96,1802
SAH1b,17C81FDBCCC905C6,17C81FDBCCC905C6,1802
Galtus,C9CB40636352AC99,C9CB40636352AC99,1767
Just a random,EF0D9C16069204AC,EF0D9C16069204AC,1767
Peterpanflex,7FBE610C56B5FE41,7FBE610C56B5FE41,1735
S.A.O PeterpanFLEX,39FC372721AE0FDC,7FBE610C56B5FE41,1735
Caltrop,CEE1F0663AE23D2A,CEE1F0663AE23D2A,1713
Soul.NB,20D33F864DD25216,20D33F864DD25216,1698
@YukNoob_,A60E1FFAC5F596C5,A60E1FFAC5F596C5,1697
chabesmart,45114D001C004C9E,45114D001C004C9E,1692
VRS_avyn,DCED7D4643D84BF0,DCED7D4643D84BF0,1691
Gabe_Watts.NB,897EC5B9C24E425E,897EC5B9C24E425E,1681
Muffin66_SIN,B5B144F1BF9009A0,B5B144F1BF9009A0,1679
IFF_QC_zach420,FF44256ABD0EAAC1,FF44256ABD0EAAC1,1675
BOBO_39,B864335427BF31DE,B864335427BF31DE,1668
Atlas-18,CDCD7142A7A0C72E,CDCD7142A7A0C72E,1659
Scanter,9CC35B4B3A8E41D1,9CC35B4B3A8E41D1,1653
Mr.Pink_TTV,5EC727C47D31A8D7,5EC727C47D31A8D7,1652
Mr.Pink,8A39144544E8888C,5EC727C47D31A8D7,1652
birthpoggers,3A12FF22C9B5169A,3A12FF22C9B5169A,1647
Sumatchi,D5202C0B9FFB40A5,D5202C0B9FFB40A5,1641
Singno,37121390D33DE438,37121390D33DE438,1628
Shagroid,6E376595A2D4BB1D,6E376595A2D4BB1D,1616
Showerwolves,37F56444FFD47ABC,37F56444FFD47ABC,1615
ibexVR_Twitch_Youtube,419DBE498C18DD34,419DBE498C18DD34,1608
max_the_kool_cat,17594B4B1797D0D5,17594B4B1797D0D5,1606
IA_JDog,A3E882371E5B5B41,A3E882371E5B5B41,1603
Legends_1,8F5542CC5FA8A54F,8F5542CC5FA8A54F,1595
Marshifam11,231D284D8165DA8C,231D284D8165DA8C,1592
MATT_HAWK,7F3DC3EAF088B923,7F3DC3EAF088B923,1591
@Omelette Du Fromage,75EA737A6F86B61D,75EA737A6F86B61D,1581
lleading,67FB57BD377D0E0F,67FB57BD377D0E0F,1580
RadFoxVR,E48F609E5AFA2A5,E48F609E5AFA2A5,1578
POOTERPANDA,9E80B8CE04014816,9E80B8CE04014816,1575
TTP.Taino2Turnt,EF95736B10B148E9,EF95736B10B148E9,1573
Xsinnister,A96F333C40D52EE0,A96F333C40D52EE0,1571
Yeahboiiiiii,529AAA3C915D1165,529AAA3C915D1165,1562
ryze @ LAN,BF7E8932206FCC70,BF7E8932206FCC70,1559
Red,614998799603A93B,614998799603A93B,1558
xNeatway,6A062140A6AD14FC,6A062140A6AD14FC,1556
Mind_Baker,8E3A93563F042BF9,8E3A93563F042BF9,1554
GoodBet,AB0E1E4A4444E415,AB0E1E4A4444E415,1549
Mr_Demonic,86AED5FE3C8937BB,86AED5FE3C8937BB,1545
Juice_Wrld,BEB90BC904455EF6,1B8EC490E5DE6D97,1543
fricklestheclown,1B8EC490E5DE6D97,1B8EC490E5DE6D97,1543
EthanNotFound,96FC6E0032BB00D2,96FC6E0032BB00D2,1539
mipo,C90D518B297682D8,C90D518B297682D8,1539
GO_Maverick,C88B28FFE600C77E,C88B28FFE600C77E,1538
VRazorBeast3.0,46311D6F5337B1FA,46311D6F5337B1FA,1536
Naastyy.NB,81DFD6B0F491418D,81DFD6B0F491418D,1536
GO_DrSmartAzz,B1937A74000CCAAB,B1937A74000CCAAB,1535
MrAwesomeJr5,1E3579F23EFEE367,1E3579F23EFEE367,1532
Maz_FIN,AC0995D9250B0FB6,AC0995D9250B0FB6,1530
RBL_Trouble1999,CF811A81B0E4A1C5,28682871968C1CA7,1530
RBL_Trouble1999,28682871968C1CA7,28682871968C1CA7,1530
GOxPinkpwnage,A4024C179571E5B9,A4024C179571E5B9,1529
VIPxPinkpwnage,2F339DB5B7EB236B,A4024C179571E5B9,1529
