ign,pfid,mapfid,go_rating
AURELIUS_AVE,5C6E2952678D0796,13E63D7F87632869,0
AVE_AURELIUS,9C2F382633A0075,13E63D7F87632869,0
RBL_Trouble1999_2,CF811A81B0E4A1C5,28682871968C1CA7,0
MAX.I.CAN,ED2803447DB13D2,2E0C8F5E8A7957C4,0
VIPxNoah,743B2938B4AD04E4,35BF2EE8727E21DD,0
VIPxA$CE,4A054DCC790C24A2,3C451C712FB045E0,0
helloBeauTEEful2,9F69803F0848292C,3DB3B4C184947919,0
helloBeauTEEful,97A718B9C0358436,3DB3B4C184947919,0
Sapphire2889,9F56082143201E3F,3E0F07034D2E830,0
Magical_Beans,B7A7FD4C7B8309CB,42AAE36F6839385B,0
PipeDoc.NB,16DABA1107FEF320,459F73E9DD5F5850,0
Winner54,185D241F4FE32684,492A78B22B55DDB3,0
Winner54_,4E7E8100E9A77D12,492A78B22B55DDB3,0
TTV_Winter2,B47B6C15654505EA,4EFBB9740874DF99,0
PigG13,B8FABF9ACAECD854,4F205584916BEE3B,0
ItsNaaattyBetts,55DD88B97CB2CCEA,5359E9B30EA5E38B,0
itsnattyyybeetts,AD1840D6462D0173,5359E9B30EA5E38B,0
Laufey,45E436061364985B,55044E87C7BE34EB,0
IGhostyy,9CF7726B4A4A990B,571EF546E519B48C,0
YoPapi,8C2A22B362816ADB,5B6F3C96C8EC8648,0
SAO Lowkey Bad,2D26132EC2DBC067,5F4F91D71E0F02AE,0
RACK_EM_WILLIE,E4AC85F0AF5365AC,606D03E043C374A5,0
xRackEmWillie,BA09FEC2EA741EFC,606D03E043C374A5,0
xSkit,42CBCDE0591D0364,608ED67DD8C0093F,0
Half_Al1ve,7D01298912E30EBC,6C94F59B1E5B27,0
IggytheRat,627FF13AAC1EB89F,6D3CF37DCFFB45B7,0
The_Elliott,325BDDA357F5625A,790F7ACB99C1BE25,0
greaseNtools_SKS,D0D0A3CB0824767F,7AF381FC4AC180AE,0
S.A.O PeterpanFlex,39FC372721AE0FDC,7FBE610C56B5FE41,0
Mr._.Ferrari,ACC91C345732CA5E,80FC434787259182,0
Zoloto,309588828B51F1B,826DF4BA35497FB,0
itsdaaannybetts,33C2F39DBC018AB,96C365ED219931A1,0
Cosmic.Baddie,B3189703C55089F3,9D4419C593ED0F3,0
Godly,F3064D2628E40F3F,9F978EFF55DF57F7,0
VIPxPinkpwnage,2F339DB5B7EB236B,A4024C179571E5B9,0
S.A.O._.CHAL0,1324F332F2AEE577,A69C1CF885686847,0
S.A.0._.KINGZ,A016F0FB2280C066,A69C1CF885686847,0
SAO._.K1NGZ,87023E350F5230FB,A69C1CF885686847,0
xMuggy11,7AF9CABA5D89CBD1,A6E60597362E1339,0
VIPxGloxi,C12AACEAC9CE276,B2EB5AF7D9C8E673,0
RBL_Ghosty,54127A904055A317,B50A4AC40327843C,0
GO_Lester,BF7F7755642452B8,B6395EBFD2459486,0
finatic,572A645BE13FA66,B714C7C93928CB51,0
NRasta,B3202354D230DB72,C0E884AD920F2F3E,0
A.K.M_Tethered,552AF391A38A520F,C214F3287CAF8942,0
IFF-USA-wickedrose,8991D90592AC1F62,C42FB4D5BD5886D7,0
VIPxSpray'N'Pray,D3BBD672D7E9E766,C7C87A8A21B3B89F,0
VIPxCreamy.VR,5E9D12A0C3C3A411,D27AA61FAA59DC11,0
TTV.Creamy,358B61D2259774C7,D27AA61FAA59DC11,0
