ign,pfid,orig_rating,go_rating
009db,2AE0B4D6C3D8A4FA,1188.0,1184.6
AJ.ll,AC75064960EF788E,654.0,691.5
AOC_CAIDEN,DEE51F0B7F373C98,1000.0,1054.8
BBQ__WATER,15A08CA14697B062,1232.0,1630.0
BBW,E9E44C258D99C389,1144.0,1085.2
Chino__0,DEBC974F6F52CCCC,1239.0,1494.0
Cosmo_o,11B368CDA8E751B9,0.0,838.0
Cosmooon,6E7ABBDB1D1CF9BB,328.0,401.0
EPSTEIN,E45DBDD570194D1,0.0,1784.6
Falcon12321,39E69E2E02ED73B,1483.0,1444.3
FlashBolo,FFAB9B0248B5562,1135.0,1120.9
Frost_Bite17,EA604A64B44CCACB,717.0,855.2
GO_BABs,290C1E25CEE59C4B,881.0,870.6
GO_GhostXRP,B81760E80763FEC7,1320.0,1314.6
GO_Lester,B6395EBFD2459486,1323.0,1245.5
GO_Maverick,C88B28FFE600C77E,1538.0,1499.3
GO_STOOOBE,121559C6C39206B5,976.0,959.4
GO_Sapphire2889,3E0F07034D2E830,800.0,797.3
GOxPinkpwnage,A4024C179571E5B9,1529.0,1408.7
GOxSami,7236D5DED53B1204,933.0,884.1
GO~SHoVVTiMeX,3570FF8FBC6530D4,1187.0,1228.7
Greta Thunberg,3E47130A54B2714,1513.0,1494.0
HMONG_SIN,5A677F2FD3A95637,989.0,976.6
IA_JDog,A3E882371E5B5B41,1603.0,1574.8
IrieVR,735321E35993FAC0,938.0,1242.4
JackGPT,35C2D99A6E66DD55,966.0,1135.8
JerryTrucksALot_SIN,2FE12663EF7B6471,1307.0,1259.0
K1NGZ,D3770494E8B19C1A,0.0,1482.5
KyGelli,BFDBEDA6BC4FBF3F,334.0,385.3
Legends_1,8F5542CC5FA8A54F,1595.0,1556.3
Littlered85,EEAEEFDA51DDA6AE,1011.0,1001.9
MISSION VR,9D4419C593ED0F3,1233.0,1193.7
MOVEWAY,C5291FD5BBD3F050,789.0,1064.5
MVP_Provolown,62D75D8FC9785191,1226.0,1265.0
MrRager,42AAE36F6839385B,1098.0,1873.7
MyVRUser12,764DD262873FF5FD,1920.0,1798.9
ONE_KAKAK_KR,40B319A793121161,1237.0,1234.1
P-DIDDY,4AEF0314DE049797,0.0,962.8
POOTERPANDA,9E80B8CE04014816,1575.0,1582.0
PigG13,4F205584916BEE3B,1236.0,1214.0
Psycho.Bunny,30D1B0B09E4BBADE,719.0,947.4
R Kelly,5F4F91D71E0F02AE,1456.0,1669.1
Ramp4g3,A63A1F5937E35F36,1148.0,1240.8
RevolutionX,4575D3B047A8981E,246.0,330.0
Rocco_DiBacco,AC56409522FABD68,621.0,1592.2
S.A.O PeterpanFLEX,7FBE610C56B5FE41,1735.0,1683.1
S.A.O._MAX.I.CAN,2E0C8F5E8A7957C4,1418.0,1383.4
SAH1b,17C81FDBCCC905C6,1802.0,1691.8
SIeepyJoeBiden,B0E52B0761329378,1058.0,1431.8
STEVE,A185CDF07D858B61,0.0,1010.3
Scarer_VR,A8B3929A1778BE39,634.0,894.2
Smoke399,BB5AF4481611E2EC,814.0,814.0
Solace.45,EF699F5DAD20ECB,575.0,772.6
Sydney Sweeney,B714C7C93928CB51,1432.0,1429.5
TTV.Cryptic,EC31CDD3C3C9DDEF,1322.0,1189.8
TTV_CaseOh,3980B16E663DA754,1353.0,1319.7
TW_ghostyy,B55FC0433CE3C59E,758.0,1001.5
TWxCANNON,55A04A3659C6BEF,873.0,899.1
Tonkaah,78483BCA159DB216,1390.0,1357.3
Unethiqll,A527858EBF698A17,924.0,915.1
VIPxGlocknheels,B2EB5AF7D9C8E673,1101.0,1049.7
VIPxNoah,35BF2EE8727E21DD,1445.0,1735.9
VIPxRyan2dayy,77672C414F852A3B,1410.0,1839.4
VIPxSteel,6A04E4CCE9361848,1172.0,1169.1
VRS_Chemimbalance227,B7461ECCDF5F0B2E,1062.0,1054.4
VRS_Claxicon.TTV,3EB92D84D8C306BF,1161.0,1086.5
VRS_Philophosaurus,82BB45C189B4B061,1041.0,1020.9
VRS_SnickleFritzA,C0CC9BF2009A9CCE,1109.0,1085.9
VRS_avyn,DCED7D4643D84BF0,1691.0,1648.6
VRSxT3MINITE,E3193AB4AD0E2F7F,930.0,976.2
Vantage.VR,DC195B48542FD9B2,1049.0,1021.2
Vorchek,46DD31F2C5E843B5,887.0,1224.2
WWW_Abstract333,69375EE11D2F2F99,1009.0,1021.1
WWW_Consesa,A964E942A84A9AF9,718.0,697.2
WWW_FemboyFallen,9A6C42A411C57BDE,708.0,706.5
WillMM,2F8C8755E29B22CA,1144.0,1251.3
WolfPlayz27,EC41367606605674,739.0,850.4
XXX_ACE_XXX,3B0201DF6A43645E,316.0,365.7
Yeahboiiiiii,529AAA3C915D1165,1562.0,1511.5
colinthe6,3343CDAF52D0E5E2,1332.0,1278.6
crank.d,B3BF51049C1923AB,666.0,876.3
creamy,D27AA61FAA59DC11,2078.0,2081.0
itsnaaattybetts,5359E9B30EA5E38B,1452.0,1524.6
lleading,67FB57BD377D0E0F,1580.0,1556.4
plistic,6163256A3045CB2B,673.0,833.2
ryze @ LAN,BF7E8932206FCC70,1559.0,1508.3
speed.y,28DB9541A0ACBF50,672.0,712.6
urdeadbyendgame,9339385FF3B0151C,897.0,914.4
vipxace,3C451C712FB045E0,1001.0,974.3
