ign,games,ORIG,ZSCORE,ZSCORE_REDUCED,ZSCORE_REDUCED_ASYM,confidence_factor_low,confidence_factor_high
009db,5.000,1219.000,851.287,1127.072,1188.357,0.250,0.083
A.K.M_Deadlyrat,4.000,772.000,736.817,764.963,769.654,0.200,0.067
AG3NT.Z3RO,24.000,876.000,1007.618,1007.618,1007.618,1.000,0.400
APEX_BOBO,39.000,1076.000,1667.924,1667.924,1667.924,1.000,0.650
AdoboMexicano,20.000,956.000,952.433,952.433,954.811,1.000,0.333
AllTheBaconAndEGGz,15.000,697.000,823.380,791.785,791.785,0.750,0.250
BBQ__WATER,23.000,874.000,1232.026,1232.026,1232.026,1.000,0.383
Barkley,53.000,1031.000,1384.862,1384.862,1384.862,1.000,0.883
Bobby_Vegas,3.000,811.000,751.742,802.111,808.037,0.150,0.050
Breckie Hill,41.000,1181.000,1432.273,1432.273,1432.273,1.000,0.683
Chino__0,55.000,1274.000,1239.003,1239.003,1241.919,1.000,0.917
Consesa,10.000,596.000,778.193,687.096,687.096,0.500,0.167
CornBall,5.000,0.000,1100.992,1100.992,1100.992,1.000,1.000
D.MENACE1.209,5.000,0.000,756.129,756.129,756.129,1.000,1.000
Deep.NB,5.000,933.000,1118.311,979.328,979.328,0.250,0.083
Drake_Da_Bali_Boy,5.000,913.000,874.591,903.398,909.799,0.250,0.083
E Girl ;),38.000,875.000,1030.814,1030.814,1030.814,1.000,0.633
E Mom :),33.000,1151.000,1143.938,1143.938,1147.116,1.000,0.550
Faith.NB,10.000,948.000,780.081,864.040,920.013,0.500,0.167
Falcon12321,9.000,1513.000,1309.886,1421.598,1482.533,0.450,0.150
FlashBolo,25.000,1190.000,1059.067,1059.067,1135.445,1.000,0.417
GO-Cronides,10.000,696.000,774.740,735.370,735.370,0.500,0.167
GO_BABs,25.000,888.000,871.613,871.613,881.172,1.000,0.417
GO_BeauTEEful,18.000,995.000,861.111,874.500,954.833,0.900,0.300
GO_DocButler,35.000,916.000,904.314,904.314,909.183,1.000,0.583
GO_DrSmartAzz,18.000,1729.000,1083.045,1147.640,1535.213,0.900,0.300
GO_JessHawk3,30.000,876.000,862.148,862.148,869.074,1.000,0.500
GO_JohnHarple,7.000,801.000,806.108,802.788,802.788,0.350,0.117
