pfid,ign,go_rating
FD298106A0DFC78A,VIPxCreamy,2077.75
2090516D59D5AD89,Broky,2011.92
79ED45AD17C8483B,TTP.Guramichi15,1946
764DD262873FF5FD,MyVRUser12,1920
68F25F83BA8EF327,AngelicMessenger,1890
5E017E9235A63E96,kill2ride001,1802
C9CB40636352AC99,Galtus,1767
EF0D9C16069204AC,Just a random,1767
897EC5B9C24E425E,Gabe_Watts.NB,1766.65
B1937A74000CCAAB,GO_DrSmartAzz,1729
CEE1F0663AE23D2A,Caltrop,1713
20D33F864DD25216,Soul.NB,1698
A60E1FFAC5F596C5,@YukiFR_,1697
45114D001C004C9E,chabesmart,1692
DCED7D4643D84BF0,VRS_avyn,1691
B5B144F1BF9009A0,Muffin66_SIN,1679
FF44256ABD0EAAC1,IFF_QC_zach420,1675
CDCD7142A7A0C72E,Atlas-18,1658.62
9CC35B4B3A8E41D1,Scanter,1652.92
5EC727C47D31A8D7,Mr.Pink_TTV,1652.2
3A12FF22C9B5169A,birthpoggers,1647
D5202C0B9FFB40A5,Sumatchi,1641
37121390D33DE438,Singno,1628
6E376595A2D4BB1D,Shagroid,1615.81
37F56444FFD47ABC,Showerwolves,1615
419DBE498C18DD34,ibexVR_Twitch_Youtube,1608
17594B4B1797D0D5,max_the_kool_cat,1606
A3E882371E5B5B41,IA_JDog,1603.16
8F5542CC5FA8A54F,Legends_1,1594.76
231D284D8165DA8C,Marshifam11,1592
7F3DC3EAF088B923,MATT_HAWK,1591
75EA737A6F86B61D,@Omelette Du Fromage,1581
67FB57BD377D0E0F,lleading,1580
E48F609E5AFA2A5,RadFoxVR,1578
6E2438B41FE274CA,UnsaidRhombus.NB,1577.45
EF95736B10B148E9,TTP.Taino2Turnt,1573
A96F333C40D52EE0,Xsinnister,1571
BF7E8932206FCC70,King_Jerry21,1559
614998799603A93B,Red,1558
A4024C179571E5B9,VIPxPinkPWNAGE,1555.37
8E3A93563F042BF9,Mind_Baker,1554
81DFD6B0F491418D,Naastyy.NB,1551
AB0E1E4A4444E415,GoodBet,1549
86AED5FE3C8937BB,Mr_Demonic,1545
BEB90BC904455EF6,Juice_Wrld,1543
96FC6E0032BB00D2,EthanNotFound,1539
C90D518B297682D8,mipo,1539
46311D6F5337B1FA,VRazorBeast3.0,1536
1E3579F23EFEE367,MrAwesomeJr5,1532
AC0995D9250B0FB6,IFF_FIN_Mazhmir,1530
CF811A81B0E4A1C5,RBL_Trouble1999,1530
FB90E2AEAE0984CC,RamDown,1528
28682871968C1CA7,RBL_Trouble1999,1523.96
39E69E2E02ED73B,Falcon12321,1513
3E47130A54B2714,Greta Thunberg,1512.76
2E0C8F5E8A7957C4,S.A.O._MAX.I.CAN,1511.41
C2A187823F2A11AF,PaulYerbury,1508
E8D45C3F2DABDDA5,SL1CK_SK1LLZ,1504
