ign,pfid,mapfid,go_rating,rating30plus
TTP.Guramichi15,79ED45AD17C8483B,79ED45AD17C8483B,1946,2699
MyVRUser12,764DD262873FF5FD,764DD262873FF5FD,1920,2690
Gabe_Watts.NB,897EC5B9C24E425E,897EC5B9C24E425E,1883,2613
Scanter,9CC35B4B3A8E41D1,9CC35B4B3A8E41D1,1880,2768
Legends_1,8F5542CC5FA8A54F,8F5542CC5FA8A54F,1849,2638
Just a random,EF0D9C16069204AC,EF0D9C16069204AC,1767,2455
Galtus,C9CB40636352AC99,C9CB40636352AC99,1767,2371
Atlas-18,CDCD7142A7A0C72E,CDCD7142A7A0C72E,1750,2445
UnsaidRhombus.NB,6E2438B41FE274CA,6E2438B41FE274CA,1741,2343
IA_JDog,A3E882371E5B5B41,A3E882371E5B5B41,1727,2403
Caltrop,CEE1F0663AE23D2A,CEE1F0663AE23D2A,1713,2345
Soul.NB,20D33F864DD25216,20D33F864DD25216,1698,2325
@YukiFR_,A60E1FFAC5F596C5,A60E1FFAC5F596C5,1697,2254
Mr.Pink_TTV,5EC727C47D31A8D7,5EC727C47D31A8D7,1697,2462
Mr.Pink,8A39144544E8888C,5EC727C47D31A8D7,1697,2462
chabesmart,45114D001C004C9E,45114D001C004C9E,1692,2417
VRS_avyn,DCED7D4643D84BF0,DCED7D4643D84BF0,1688,2347
Greta Thunberg,3E47130A54B2714,3E47130A54B2714,1686,2426
IFF_QC_zach420,FF44256ABD0EAAC1,FF44256ABD0EAAC1,1675,2344
Shagroid,6E376595A2D4BB1D,6E376595A2D4BB1D,1667,2364
AngelicMessenger,68F25F83BA8EF327,68F25F83BA8EF327,1656,2306
Sumatchi,D5202C0B9FFB40A5,D5202C0B9FFB40A5,1641,2283
ibexVR_Twitch_Youtube,419DBE498C18DD34,419DBE498C18DD34,1608,2181
max_the_kool_cat,17594B4B1797D0D5,17594B4B1797D0D5,1606,2195
Showerwolves,37F56444FFD47ABC,37F56444FFD47ABC,1600,2027
Pharoah69,231D284D8165DA8C,231D284D8165DA8C,1592,2081
MATT_HAWK,7F3DC3EAF088B923,7F3DC3EAF088B923,1591,2133
