ign,pfid,orig_rating,go_rating
009db,2AE0B4D6C3D8A4FA,1219.0,1188.4
A.K.M_Deadlyrat,1543FBDCB770FF3D,772.0,769.7
AG3NT.Z3RO,8C44CF14B05941FB,876.0,1007.6
APEX_BOBO,B864335427BF31DE,1076.0,1667.9
AdoboMexicano,B27236C0A1D9ED61,956.0,954.5
AllTheBaconAndEGGz,E4CB0E373C7F2860,697.0,823.4
BBQ__WATER,15A08CA14697B062,874.0,1232.0
Barkley,F4C12E96546AE7F9,1031.0,1384.9
Bobby_Vegas,B24D69C1B63F2575,811.0,808.0
Breckie Hill,B714C7C93928CB51,1181.0,1432.3
Chino__0,DEBC974F6F52CCCC,1274.0,1239.0
Consesa,A964E942A84A9AF9,596.0,717.5
CornBall,3DB603736D04A0BC,0.0,1101.0
D.MENACE1.209,E0A123C5CA062D68,0.0,756.1
Deep.NB,D5A4509147D7BEC2,933.0,994.8
Drake_Da_Bali_Boy,E9392FF11E696FD1,913.0,909.8
E Girl ;),75A2561232645DE3,875.0,1030.8
E Mom :),F803F24A69FF642F,1151.0,1147.1
Faith.NB,5398009C479D28BC,948.0,920.0
Falcon12321,39E69E2E02ED73B,1513.0,1482.5
FlashBolo,FFAB9B0248B5562,1190.0,1135.4
GO-Cronides,968E12D14D8B0FF3,696.0,748.5
GO_BABs,290C1E25CEE59C4B,888.0,881.2
GO_BeauTEEful,3DB3B4C184947919,995.0,908.0
GO_DocButler,E40FBC5F7C9F0DEC,916.0,909.2
GO_DrSmartAzz,B1937A74000CCAAB,1729.0,1535.2
GO_JessHawk3,557FF72C377D8A4D,876.0,869.1
GO_JohnHarple,AA7052852F3FFDB4,801.0,803.4
GO_Lester,B6395EBFD2459486,1323.0,1227.3
GO_Loki714,7AEED7BA665E4D7A,1118.0,1087.1
GO_Maverick,C88B28FFE600C77E,1289.0,1537.9
GO_Robot,C63E7138083B98BC,902.0,938.9
GO_SHARK,E15CAAD0003430E3,999.0,929.7
GO_STOOOBE,121559C6C39206B5,1048.0,976.2
GO_Sapphire2889,3E0F07034D2E830,755.0,800.3
GO~SHoVVTiMeX,3570FF8FBC6530D4,1255.0,1186.8
Gabe_Watts.NB,897EC5B9C24E425E,1767.0,1680.6
HYX_Wilbur.111678,641BE86047DE2192,0.0,844.0
Hk_Lukedv,6FF4BDCADDE406EC,957.0,971.3
HungryMayo,89DED67A278750E8,780.0,779.3
J3RKMIOV,F9365C66E2F35FA0,1452.0,1527.8
JBro02,2AC8E3B55467A64B,1330.0,1321.4
Jen.Jen09,B008051C27CB48A2,708.0,724.1
Jester.thecl0wn,E7F628EC5820CF60,910.0,899.7
Kimberslay,EEF61D12A2E600AC,983.0,961.5
Kobe.22,24C133B2C94E419B,958.0,952.3
LILB2234PF,FA9A34346FC32D46,948.0,940.0
Leo_Bee,C871998953FA3CA7,813.0,851.8
Logan,80FC434787259182,950.0,922.4
M.I.A_Steel,1849A1779F1654CF,810.0,838.1
MISSION VR,9D4419C593ED0F3,1233.0,1183.8
Magical_Beans,42AAE36F6839385B,932.0,1097.6
Mitch_Man_7,F4478D46536BE6F7,919.0,904.3
Mr.HODLGANG,420A572CA0505EFF,831.0,830.9
Mr.Xtwinkler,2BC7A1AB4561865,1062.0,1007.1
MrRager,91062BD8ADCBAE8,932.0,961.8
NAA-GridTheKing,F5C33DE701D945B9,1218.0,1246.5
