ign,games,ORIG,ZSCORE,ZSCORE_REDUCED,ZSCORE_REDUCED_ASYM
009db,5.000,1219.000,851.287,1096.429,1188.357
A.K.M_Deadlyrat,4.000,772.000,736.817,762.618,769.654
AG3NT.Z3RO,24.000,876.000,1007.618,1007.618,1007.618
APEX_BOBO,39.000,1076.000,1667.924,1667.924,1667.924
AdoboMexicano,25.000,956.000,952.433,952.433,954.514
AllTheBaconAndEGGz,15.000,697.000,823.380,823.380,823.380
BBQ__WATER,23.000,874.000,1232.026,1232.026,1232.026
Barkley,54.000,1031.000,1384.862,1384.862,1384.862
Bobby_Vegas,3.000,811.000,751.742,799.148,808.037
Breckie Hill,41.000,1181.000,1432.273,1432.273,1432.273
Chino__0,76.000,1274.000,1239.003,1239.003,1239.003
Consesa,10.000,596.000,778.193,717.462,717.462
CornBall,5.000,0.000,1100.992,1100.992,1100.992
D.MENACE1.209,5.000,0.000,756.129,756.129,756.129
Deep.NB,5.000,933.000,1118.311,994.770,994.770
Drake_Da_Bali_Boy,5.000,913.000,874.591,900.197,909.799
E Girl ;),38.000,875.000,1030.814,1030.814,1030.814
E Mom :),33.000,1151.000,1143.938,1143.938,1147.116
Faith.NB,10.000,948.000,780.081,836.054,920.013
Falcon12321,9.000,1513.000,1309.886,1391.131,1482.533
FlashBolo,25.000,1190.000,1059.067,1059.067,1135.445
GO-Cronides,10.000,696.000,774.740,748.493,748.493
GO_BABs,25.000,888.000,871.613,871.613,881.172
GO_BeauTEEful,39.000,995.000,861.111,861.111,907.972
GO_DocButler,35.000,916.000,904.314,904.314,909.183
GO_DrSmartAzz,18.000,1729.000,1083.045,1083.045,1535.213
GO_JessHawk3,30.000,876.000,862.148,862.148,869.074
GO_JohnHarple,7.000,801.000,806.108,803.384,803.384
GO_Lester,38.000,1323.000,1171.926,1171.926,1227.320
GO_Loki714,5.000,1118.000,747.606,994.535,1087.134
GO_Maverick,23.000,1289.000,1537.890,1537.890,1537.890
GO_Robot,42.000,902.000,938.950,938.950,938.950
GO_SHARK,35.000,999.000,880.266,880.266,929.739
GO_STOOOBE,35.000,1048.000,924.982,924.982,976.239
GO_Sapphire2889,30.000,755.000,800.310,800.310,800.310
GO~SHoVVTiMeX,22.000,1255.000,1068.898,1068.898,1186.763
Gabe_Watts.NB,20.000,1767.000,1507.905,1507.905,1680.635
HYX_Wilbur.111678,5.000,0.000,844.009,844.009,844.009
Hk_Lukedv,5.000,957.000,999.850,971.283,971.283
HungryMayo,5.000,780.000,771.989,777.330,779.332
J3RKMIOV,5.000,1452.000,1679.387,1527.796,1527.796
JBro02,5.000,1330.000,1226.830,1295.610,1321.402
Jen.Jen09,5.000,708.000,756.237,724.079,724.079
Jester.thecl0wn,5.000,910.000,786.015,868.672,899.668
Kimberslay,5.000,983.000,725.381,897.127,961.532
Kobe.22,5.000,958.000,889.311,935.104,952.276
