datetime,lobby,game,team,ign,playfabid,placement,kills,damage,date,date num,is_fun_match,playfabid2
2024/04/10 18:25:00,C963DF,0,A,VIPxNoah,743B2938B4AD04E4,3,0,375,2024-04-10,45392,1,35BF2EE8727E21DD
2024/04/10 18:25:00,C963DF,0,A,VIPxSami,7236D5DED53B1204,3,1,301,2024-04-10,45392,1,7236D5DED53B1204
2024/04/10 18:25:00,C963DF,0,A,VIPxGloxii <3,C12AACEAC9CE276,3,0,171,2024-04-10,45392,1,B2EB5AF7D9C8E673
2024/04/10 18:25:00,C963DF,0,A,TOTALS,,3,1,847,2024-04-10,45392,1,
2024/04/10 18:25:00,C963DF,0,B,Ry.y,765E29220A77E744,4,2,679,2024-04-10,45392,1,765E29220A77E744
2024/04/10 18:25:00,C963DF,0,B,Magical_Beans,B7A7FD4C7B8309CB,4,2,539,2024-04-10,45392,1,42AAE36F6839385B
2024/04/10 18:25:00,C963DF,0,B,UWU,14E017AE65DFDD61,4,2,364,2024-04-10,45392,1,E9E44C258D99C389
2024/04/10 18:25:00,C963DF,0,B,TOTALS,,4,6,1582,2024-04-10,45392,1,
2024/04/10 18:25:00,C963DF,0,C,UnsaidRhombus.NB,6E2438B41FE274CA,1,10,2448,2024-04-10,45392,0,6E2438B41FE274CA
2024/04/10 18:25:00,C963DF,0,C,Winner_54,492A78B22B55DDB3,1,6,1465,2024-04-10,45392,0,492A78B22B55DDB3
2024/04/10 18:25:00,C963DF,0,C,TOTALS,,1,16,3913,2024-04-10,45392,0,
2024/04/10 18:25:00,C963DF,0,D,Consesa,A964E942A84A9AF9,6,0,203,2024-04-10,45392,1,A964E942A84A9AF9
2024/04/10 18:25:00,C963DF,0,D,WWW_FemboyFallen,9A6C42A411C57BDE,6,0,0,2024-04-10,45392,1,9A6C42A411C57BDE
2024/04/10 18:25:00,C963DF,0,D,WWW_ElliMist,B077A4BA45DBFE90,6,1,75,2024-04-10,45392,1,B077A4BA45DBFE90
2024/04/10 18:25:00,C963DF,0,D,TOTALS,,6,1,278,2024-04-10,45392,1,
2024/04/10 18:25:00,C963DF,0,E,UnQuestionable,87FF41F7ADCDEDFB,2,1,558,2024-04-10,45392,1,87FF41F7ADCDEDFB
2024/04/10 18:25:00,C963DF,0,E,Jester.thecl0wn,E7F628EC5820CF60,2,1,412,2024-04-10,45392,1,E7F628EC5820CF60
2024/04/10 18:25:00,C963DF,0,E,Chino__0,2072A9F47383F728,2,1,747,2024-04-10,45392,1,DEBC974F6F52CCCC
2024/04/10 18:25:00,C963DF,0,E,TOTALS,,2,3,1717,2024-04-10,45392,1,
2024/04/10 18:25:00,C963DF,0,F,xReturn,C5291FD5BBD3F050,5,3,711,2024-04-10,45392,1,C5291FD5BBD3F050
2024/04/10 18:25:00,C963DF,0,F,Onickss,1BE398197ACAE00D,5,2,735,2024-04-10,45392,1,1BE398197ACAE00D
2024/04/10 18:25:00,C963DF,0,F,WWW_Nando_AK,D6D028A669631FFF,5,4,960,2024-04-10,45392,1,D6D028A669631FFF
2024/04/10 18:25:00,C963DF,0,F,TOTALS,,5,9,2406,2024-04-10,45392,1,
2024/04/10 18:25:00,C963DF,0,G,bobthecookie123,DBDBA18FAE3C771F,7,0,0,2024-04-10,45392,1,DBDBA18FAE3C771F
2024/04/10 18:25:00,C963DF,0,G,TOTALS,,7,0,0,2024-04-10,45392,1,
2024/04/10 18:25:59,AED685.00,0,A,Yeahboiiiiii,529AAA3C915D1165,1,5,1497,2024-04-10,45392,0,529AAA3C915D1165
2024/04/10 18:25:59,AED685.00,0,A,APEX_BOBO,B864335427BF31DE,1,8,1620,2024-04-10,45392,0,B864335427BF31DE
2024/04/10 18:25:59,AED685.00,0,A,SAH1b,17C81FDBCCC905C6,1,4,1405,2024-04-10,45392,0,17C81FDBCCC905C6
2024/04/10 18:25:59,AED685.00,0,A,TOTALS,,1,17,4522,2024-04-10,45392,0,
2024/04/10 18:25:59,AED685.00,0,B,GO_STOOOBE,121559C6C39206B5,4,0,363,2024-04-10,45392,0,121559C6C39206B5
2024/04/10 18:25:59,AED685.00,0,B,GO_BABs,290C1E25CEE59C4B,4,1,192,2024-04-10,45392,0,290C1E25CEE59C4B
2024/04/10 18:25:59,AED685.00,0,B,GO_Loki714,322087B90928B7CB,4,0,305,2024-04-10,45392,0,7AEED7BA665E4D7A
2024/04/10 18:25:59,AED685.00,0,B,TOTALS,,4,1,860,2024-04-10,45392,0,
2024/04/10 18:25:59,AED685.00,0,C,VIPxAniya,75A2561232645DE3,2,2,347,2024-04-10,45392,0,75A2561232645DE3
2024/04/10 18:25:59,AED685.00,0,C,neeeks,A3D48CEE6968286F,2,0,503,2024-04-10,45392,0,A3D48CEE6968286F
2024/04/10 18:25:59,AED685.00,0,C,🥲,AB9387B8FEBD0944,2,0,509,2024-04-10,45392,0,F803F24A69FF642F
2024/04/10 18:25:59,AED685.00,0,C,TOTALS,,2,2,1359,2024-04-10,45392,0,
2024/04/10 18:25:59,AED685.00,0,D,TTP.Chase,9070764BE8ABC182,5,1,89,2024-04-10,45392,0,9070764BE8ABC182
2024/04/10 18:25:59,AED685.00,0,D,portermac,CC668E1312F0EC6B,5,1,310,2024-04-10,45392,0,CC668E1312F0EC6B
2024/04/10 18:25:59,AED685.00,0,D,stuje1,18ADF7AEAC225CE6,5,3,430,2024-04-10,45392,0,18ADF7AEAC225CE6
2024/04/10 18:25:59,AED685.00,0,D,TOTALS,,5,5,829,2024-04-10,45392,0,
2024/04/10 18:25:59,AED685.00,0,E,GO_DocButler,E40FBC5F7C9F0DEC,3,2,945,2024-04-10,45392,0,E40FBC5F7C9F0DEC
2024/04/10 18:25:59,AED685.00,0,E,AllTheBaconAndEGGz,E4CB0E373C7F2860,3,1,440,2024-04-10,45392,0,E4CB0E373C7F2860
2024/04/10 18:25:59,AED685.00,0,E,GO_SHARK,E15CAAD0003430E3,3,0,687,2024-04-10,45392,0,E15CAAD0003430E3
2024/04/10 18:25:59,AED685.00,0,E,TOTALS,,3,3,2072,2024-04-10,45392,0,
