ign,pfid,orig_rating,go_rating
009db,2AE0B4D6C3D8A4FA,996.0,1269.1
8n8katana,9E09E356DD020938,310.0,737.4
A1narchy_RBL,FEF74F83AAC9C7A2,307.0,387.0
AOC_WEONCITO,564528D7BE4FB55E,795.0,963.1
AOC_dagoat69,E9E44C258D99C389,1144.0,1204.3
AOC_skell.e,FCCC99501E7DA2FB,622.0,825.6
APEX-JoeyZ23,B407A5F4C358D5D7,1199.0,1151.9
AVE_AURELIUS,9C2F382633A0075,1029.0,1089.5
AWP_DADDY,E96D74FD704448BD,1025.0,938.7
AllTheBaconAndEGGz,E4CB0E373C7F2860,787.0,765.7
Arsh_9,17C81FDBCCC905C6,1361.0,1167.7
Atlas-18,CDCD7142A7A0C72E,1750.0,1693.0
AussieBvr,FBB0F07E1B0ECD77,939.0,1000.8
Austin,2090516D59D5AD89,1201.0,2033.8
Ballo,D2A425FE9116F3F3,1189.0,1115.5
Barkley,A86B6CCCE9D79C2,945.0,949.1
Bobby_Vegas,B24D69C1B63F2575,782.0,875.7
ChummyBoar,E22B43A70C850523,738.0,762.6
Consesa,A964E942A84A9AF9,842.0,668.4
Cosmonautica,D67D9D32B4C21CA5,821.0,774.4
CrazieCat,C9DC206820B6EF1,712.0,689.9
Creator.M,543D21D9B496BCD7,646.0,1008.1
DTGxSmoke399,BB5AF4481611E2EC,677.0,813.9
DeadInside,BA795380211BFFBA,1513.0,1431.3
Donald__Trump,49A3F84320606706,1200.0,1406.3
Dragon3011,EB24CC3F5FCAF103,1404.0,1316.6
Eric_NS.JP,AF9AABFC15405827,294.0,451.5
FlashBolo,FFAB9B0248B5562,1140.0,1241.0
Freddymac.NB,9CCA356DD0AF7B65,1038.0,987.0
Frost_Bite17,EA604A64B44CCACB,780.0,784.8
Fuzing,EAE5B45CA31E2754,1266.0,1238.3
GO-Cronides,968E12D14D8B0FF3,800.0,764.2
GO_BABs,290C1E25CEE59C4B,967.0,949.2
GO_BramRianne1,296F759D3B7B66BD,1284.0,1289.9
GO_DocButler,E40FBC5F7C9F0DEC,937.0,976.4
GO_JessHawk3,557FF72C377D8A4D,673.0,937.8
GO_JohnHarple,AA7052852F3FFDB4,977.0,865.4
GO_Loki,7AEED7BA665E4D7A,1189.0,1171.1
GO_Maverick,C88B28FFE600C77E,1194.0,1336.1
GO_PlatosCaveVR,F60FC18D3DE40E85,1199.0,1127.1
GO_RobotStop,C63E7138083B98BC,958.0,962.8
GO_SHARK,E15CAAD0003430E3,1085.0,1056.8
GO_STOOOBE,121559C6C39206B5,1164.0,1104.2
GO_The.Sean,9EF5E390284D97A0,747.0,821.5
GO~SHoVVTiMeX,3570FF8FBC6530D4,1270.0,1303.9
Gabe_Watts.NB,897EC5B9C24E425E,1883.0,1797.2
Gamebang,C6FE6EBD37F07292,695.0,728.7
Greta Thunberg,3E47130A54B2714,1686.0,1552.3
HGH_Caidenn2626,DEE51F0B7F373C98,958.0,1057.2
HGH_Vorchek,46DD31F2C5E843B5,953.0,948.4
HUCKLEBERRY.NB,E6A4C4C290F7A3BE,1393.0,1274.3
Half_Alive,6C94F59B1E5B27,994.0,965.2
HungryMayo,89DED67A278750E8,766.0,845.7
IA_JDog,A3E882371E5B5B41,1727.0,1639.5
IFF_NL_SilvrLining23,ADF7427EC62CD8CA,1222.0,1174.5
IFuze,C56CB11A71F31C6A,1210.0,1156.4
IGhostyy,9CF7726B4A4A990B,1365.0,1270.9
IrieVR,735321E35993FAC0,1058.0,998.2
JAB42,3980B16E663DA754,1019.0,995.1
JackGPT,35C2D99A6E66DD55,1076.0,1025.1
Jasakido.NB,DE7C342876302D0D,1085.0,1015.3
Jester.thecl0wn,E7F628EC5820CF60,661.0,970.9
Kim_Kardashian,B93111DA1620232C,1264.0,1300.6
Kimberslayyy,EEF61D12A2E600AC,833.0,1041.6
Kluttzy.NB,2E857F5A60C248D0,826.0,829.2
Legends_1,8F5542CC5FA8A54F,1849.0,1631.4
Leo_Bee,C871998953FA3CA7,964.0,877.2
LessThanAvg5,B3BF51049C1923AB,697.0,735.1
LesterTsai,B6395EBFD2459486,1323.0,922.9
LetsTanInJapan,6D8C189A1B8A5B4F,553.0,580.4
LiLGuerrero619,C59F43026258ED07,1285.0,1474.7
LilB3224PF,9AB15DC3593B0D2,948.0,1173.0
Littlered85,EEAEEFDA51DDA6AE,1221.0,1068.4
LukeB312,A8B3929A1778BE39,731.0,705.1
M.I.A_Steel,1849A1779F1654CF,676.0,874.2
MISSION VR,9D4419C593ED0F3,1233.0,1162.7
MKCarr,8186E3DBF4574994,953.0,924.7
MOVEWAY,C5291FD5BBD3F050,694.0,845.4
MVP_Provolown,62D75D8FC9785191,1076.0,1275.9
Mad_Tatter91_TTV,50C8062AB66FB9D7,782.0,779.0
Majorwiseguy,210F15830A1A7F3B,1136.0,1066.5
MasterSammy,5142D9AF411BD13E,1257.0,1479.1
MemeHc,EB22ADA7CE75987B,849.0,982.2
Mr.Baller421,3954FE9B87B870C6,824.0,788.6
Mr.HODLGANG,420A572CA0505EFF,958.0,894.9
Mr.Pink,5EC727C47D31A8D7,1697.0,1686.8
Mr.Xtwinkler,2BC7A1AB4561865,1164.0,1117.9
Mr._.Ferrari,ACC91C345732CA5E,981.0,930.8
Mr_S1TH,15A08CA14697B062,550.0,936.3
NRasta,B3202354D230DB72,1384.0,1167.9
NSAagentZERO,8C44CF14B05941FB,998.0,937.6
NattyBetts,5359E9B30EA5E38B,1452.0,1345.7
OMEGA_Mrs.Gunner,9E408095823E9529,860.0,1109.1
OMG_Sboss_BDE,C49A1B360852567A,577.0,631.9
Ojroo,D73613213F7BA5C9,827.0,825.6
Old-Fashioned,C14D1CFF903E1E3,675.0,790.8
Onickss,1BE398197ACAE00D,942.0,905.4
PRESTO_TRON,60B1EDA5C7E6030E,1144.0,1058.3
PartTimeIowa_RBL,F8266C0AC354A93C,802.0,772.0
Parzival411,26DC0A899E153CA6,322.0,439.3
Peanuts1234,1D777ACC716213C,915.0,959.9
PinkForest,35BA664EE2D668FD,1140.0,1084.5
PipeDoc.NB,16DABA1107FEF320,965.0,1124.3
Pistol_Gladiator,6A4C286B06FD7190,864.0,912.9
Pistol_Maverick,822011D1FB3B4263,846.0,836.7
Psycho.Bunny,30D1B0B09E4BBADE,785.0,786.7
PunkyJen,3B8160267EB42B5A,859.0,841.2
R.A.C,91BD27B498CC4774,524.0,710.6
RBL_E,742D24C889319CFE,740.0,801.0
RBL_Elliott,790F7ACB99C1BE25,975.0,945.9
RBL_EpicButterfly,7AA9A2825B19FDE1,731.0,718.2
RBL_Funsun1,DF4D2AA48663CFA7,859.0,1146.1
RBL_Ghosty,B50A4AC40327843C,915.0,1043.9
RBL_Mr._.Ferrari,80FC434787259182,981.0,1009.7
RBL_Shinybear,7C4E7B2BE5152030,968.0,1016.7
RBL_Trouble1999,28682871968C1CA7,1530.0,1563.1
RBL_VBaRklEy,F4C12E96546AE7F9,945.0,1087.1
RBL_Xyzlor,EBE4D33007C68906,592.0,574.4
Ramp4g3,A63A1F5937E35F36,827.0,1110.0
Res0.n4nce,215AFEA284E929E5,906.0,901.4
Rizzful_Reeces,4D8C1AF8DD48E58E,1105.0,1063.6
Russian_Vodka,3CA72D1014C83B00,1067.0,1074.8
RyRyTheDestroyer,D941D758866DF16A,609.0,584.0
Rythat1guy_AOC,765E29220A77E744,725.0,1081.4
S.A.0._.KINGZ,A016F0FB2280C066,1092.0,1114.9
S.A.O PeterpanFLEX,39FC372721AE0FDC,1216.0,1194.9
S.A.O._.Gomezx3Turbo,E97B5685EFB2E730,1185.0,1043.5
S.A.O._.K1NGZ,A69C1CF885686847,1092.0,1113.9
S.A.O._MAX.I.CAN,2E0C8F5E8A7957C4,1418.0,1551.0
S.H.A.M.A.N,AD185BEBDD909427,735.0,787.6
SAO_ALWAYSDOWN,5EBD02565FF07268,1150.0,1136.3
SAO_Devy,A221355BCE40DB15,741.0,938.5
SAO_Hudindi,C9B1EF095655CA98,932.0,990.7
SAO_MilliJay_Green,695BDB5EC2823F21,856.0,707.6
SAO_S1MPLYG0DLY,9F978EFF55DF57F7,1058.0,1472.6
SAO_kunsh.khanna,CA0B2F562D636F20,333.0,632.3
SAO’s worst player,80A2C18B4B098566,1076.0,1058.4
SEER3,3601D2E69BCD9A8C,1407.0,1375.7
SKS_AURELIUS,13E63D7F87632869,1029.0,1137.3
SKS_AngelOfDeath3391,D6314DB13629DBA8,871.0,863.1
SKS_BBaker,A679B6A1CEE62AE3,892.0,849.7
SKS_FatCheeze,9596FB26BE5BCBE4,985.0,1046.2
SKS_Lord_Flatulance,5C8A7F898AD18099,1089.0,1020.0
SKS_Nasty_lootgoblin1,28233FB5496238CF,970.0,1011.1
SKS_RickyBobby660,426078FE93217C5A,909.0,905.9
SKS_Sandman_Galaxy,FA0EE43A46B182A1,1191.0,1259.4
SL1CK_SK1LLZ,B13073C877C186B7,1504.0,1422.1
S_A_O_Jakester001,9F2432A79A3615BF,784.0,913.8
Sapphire2889,3E0F07034D2E830,755.0,818.8
Scanter,9CC35B4B3A8E41D1,1880.0,1687.5
Sgt.pj.winkels,89E68609E0F73B2F,1236.0,1103.3
SgtSlaughter16,E30E972236F0F9B1,899.0,875.8
Shagroid,6E376595A2D4BB1D,1667.0,1651.7
Sionic097,92BF8EFD62AF1B4D,985.0,1267.0
SirMÊTA,42CBDD37C806E6F2,1143.0,1090.9
Slimchanzee,94C9C4F70982DC42,389.0,411.5
Sp1n13,F9CBA5793008AA13,1250.0,1208.3
Sparklingrabbit_2_0,E5F563B053B170EC,1411.0,1179.9
StealthJim.NB,FB31160682E82A93,848.0,856.0
TBID725,EF3335BC2FA5CF1E,985.0,973.2
THC_AnimatedSunflower,8E846370A4BEE87C,161.0,249.1
THC_MONIQUEG005,CCB8FE53D01450F3,594.0,589.8
TRO_Cammie,25A81A2C0D037295,955.0,1101.2
TRUNKSZx,307AA9ABE513270F,760.0,1028.7
TTP.ControlAltDelete,C219C20BDF255AE6,1000.0,885.1
TTP.JustRedbull,B2096EF50A98B224,485.0,518.7
TTP.Pooterpanda,9E80B8CE04014816,1090.0,1080.5
TTP.Twinkles,59092FDD36C51E1D,843.0,786.4
TTP.Wrangler13,E544192F03557014,405.0,444.6
TTP.chase1223.POD,9070764BE8ABC182,1036.0,978.7
TTV_Winter,4EFBB9740874DF99,1236.0,1430.4
That1VRFemboy,24D224D9FAFD69FE,1558.0,1441.3
The_Don_84,2F02AF480C1B7676,781.0,733.1
Tonkaah,78483BCA159DB216,862.0,1001.1
TreeTrunkTravis,4E52301B2E13E7AF,1298.0,1203.0
UnQuestionable,87FF41F7ADCDEDFB,878.0,882.8
UnsaidRhombus.NB,6E2438B41FE274CA,1741.0,1614.7
VIPxA$CE,4A054DCC790C24A2,1016.0,1058.7
VIPxBlexy1,77015758BB8ABBE1,814.0,958.5
VIPxCait,82E484986D0DAEB1,839.0,847.7
VIPxCreamy,FD298106A0DFC78A,1408.0,2097.3
VIPxDogmom08,7B870058651B349A,984.0,948.1
VIPxGlocknheels,C12AACEAC9CE276,1030.0,930.8
VIPxMac11,F4930C7B865CEA6C,924.0,1350.3
VIPxMax_ThePenguin,4BBEF2AEF541F270,1209.0,1518.4
VIPxMuggy,A6E60597362E1339,916.0,856.1
VIPxNiya,75A2561232645DE3,877.0,937.0
VIPxNoah,743B2938B4AD04E4,1176.0,1415.8
VIPxPinkpwnage,A4024C179571E5B9,1405.0,1593.4
VIPxRyan2dayy,77672C414F852A3B,1248.0,1406.1
VIPxSami,7236D5DED53B1204,996.0,901.9
VIPxSpray,D3BBD672D7E9E766,1272.0,1209.1
VIPxSteel,4B466AA12897B98F,823.0,863.8
VIPxTakeVan,F803F24A69FF642F,1151.0,1107.2
Valkyrie.NB,30E0B2C271F802DD,837.0,921.5
WWW_Abstract333,69375EE11D2F2F99,1111.0,1065.9
WWW_Kayla,4AAEDA0CB0B8F2F,1199.0,1012.2
WWW_Nautilus,B8D607314A32D16B,1158.0,951.1
WickedRose,C42FB4D5BD5886D7,1372.0,1229.3
WillMM,2F8C8755E29B22CA,1131.0,1197.0
Winner_54,31A0F9CC0262311E,1352.0,1332.3
WolfPlayz27,EC41367606605674,695.0,806.2
Yeahboiiiiii,529AAA3C915D1165,1451.0,1446.3
aka_flow,806BCA6B6A7CAA14,1534.0,1488.7
cherryyuiyui_L.L.L,2B9F0C068AE2B6C0,891.0,923.6
darthshay,825750ED2DA47D06,929.0,830.7
fricklestheclown,1B8EC490E5DE6D97,1543.0,1402.7
gato.9,C18E349D38BC592F,734.0,882.8
helloBeauTEEfuI,3DB3B4C184947919,995.0,964.9
hiiragiT,92A5F46BE5AE1EA0,1033.0,1022.8
jburganw,53C9160BB8DA2F68,581.0,675.2
jwam2_SAO,2E53A3C6180B3124,690.0,738.4
mint.y,21DEE6F24076D976,547.0,778.0
neeeks,A3D48CEE6968286F,1234.0,1136.1
okkck,DEBC974F6F52CCCC,1008.0,1321.6
portermac,CC668E1312F0EC6B,1176.0,1050.5
quzn,F65967B61EAFC751,1007.0,976.1
stuje1,18ADF7AEAC225CE6,976.0,970.1
tinywatermelon,14570E9B30B7CBE3,1400.0,1345.9
xWhisper,BE37679318BE4F12,615.0,660.9
zyro,B714C7C93928CB51,1169.0,1142.8
