ign,games,ORIG,ZSCORE,ZSCORE_REDUCED,ZSCORE_REDUCED_ASYM
009db,15.0,996.0,1269.0677264847043,1269.0677264847043,1269.0677264847043
8n8katana,16.0,310.0,737.3680761327641,737.3680761327641,737.3680761327641
A1narchy_RBL,4.0,307.0,607.0173401842749,387.00462404914,387.00462404914
AOC_WEONCITO,10.0,795.0,1047.101729266992,963.067819511328,963.067819511328
AOC_dagoat69,10.0,1144.0,1234.5087624740415,1204.3391749826942,1204.3391749826942
AOC_skell.e,10.0,622.0,927.4051894450436,825.6034596300291,825.6034596300291
APEX-JoeyZ23,5.0,1199.0,916.6706183003139,1104.8902061001047,1151.9451030500525
AVE_AURELIUS,10.0,1029.0,1119.8030758981085,1089.5353839320724,1089.5353839320724
AWP_DADDY,20.0,1025.0,895.4905320687735,895.4905320687735,938.6603547125158
AllTheBaconAndEGGz,10.0,787.0,723.0593725197334,744.3729150131556,765.6864575065779
Arsh_9,25.0,1361.0,1129.052852415033,1129.052852415033,1167.710710345861
Atlas-18,5.0,1750.0,1408.1188719439579,1636.0396239813194,1693.0198119906597
AussieBvr,5.0,939.0,1124.4374246873433,1000.8124748957812,1000.8124748957812
Austin,15.0,1201.0,2033.8221283351377,2033.8221283351377,2033.8221283351377
Ballo,10.0,1189.0,968.6335051141551,1042.0890034094368,1115.5445017047184
Barkley,5.0,945.0,957.1663980759092,949.0554660253032,949.0554660253032
Bobby_Vegas,5.0,782.0,1063.1771266296491,875.7257088765498,875.7257088765498
ChummyBoar,30.0,738.0,762.6202978611677,762.6202978611677,762.6202978611677
Consesa,25.0,842.0,633.7296967313773,633.7296967313773,668.4414139428145
Cosmonautica,5.0,821.0,541.3784176417731,727.792805880591,774.3964029402956
CrazieCat,10.0,712.0,645.5945584373119,667.7297056248747,689.8648528124373
Creator.M,25.0,646.0,1008.0573407176907,1008.0573407176907,1008.0573407176907
DTGxSmoke399,10.0,677.0,882.2927004498387,813.8618002998924,813.8618002998924
DeadInside,5.0,1513.0,1022.613599041885,1349.537866347295,1431.2689331736476
Donald__Trump,5.0,1200.0,1818.8656260742057,1406.2885420247353,1406.2885420247353
Dragon3011,5.0,1404.0,879.4259262496865,1229.1419754165622,1316.570987708281
Eric_NS.JP,5.0,294.0,766.5788041186389,451.5262680395463,451.5262680395463
FlashBolo,20.0,1140.0,1240.9610071930922,1240.9610071930922,1240.9610071930922
Freddymac.NB,5.0,1038.0,731.9660115990434,935.9886705330146,986.9943352665073
Frost_Bite17,5.0,780.0,794.384896854046,784.7949656180155,784.7949656180155
Fuzing,5.0,1266.0,1099.8174467445347,1210.6058155815117,1238.3029077907559
GO-Cronides,15.0,800.0,728.4902500071175,728.4902500071175,764.2451250035588
GO_BABs,15.0,967.0,931.3873066970766,931.3873066970766,949.1936533485383
GO_BramRianne1,5.0,1284.0,1301.5564424759004,1289.852147491967,1289.852147491967
GO_DocButler,10.0,937.0,996.0514808855802,976.3676539237201,976.3676539237201
GO_JessHawk3,45.0,673.0,937.8405199652469,937.8405199652469,937.8405199652469
GO_JohnHarple,40.0,977.0,865.4388773139896,865.4388773139896,865.4388773139896
GO_Loki,15.0,1189.0,1153.2895260832097,1153.2895260832097,1171.1447630416048
GO_Maverick,40.0,1194.0,1336.1169509170368,1336.1169509170368,1336.1169509170368
GO_PlatosCaveVR,10.0,1199.0,983.1621983155217,1055.1081322103478,1127.054066105174
GO_RobotStop,42.0,958.0,962.7551329353695,962.7551329353695,962.7551329353695
GO_SHARK,10.0,1085.0,1000.5410062751511,1028.6940041834341,1056.847002091717
GO_STOOOBE,30.0,1164.0,1104.234052130139,1104.234052130139,1104.234052130139
GO_The.Sean,5.0,747.0,970.634974244622,821.544991414874,821.544991414874
GO~SHoVVTiMeX,55.0,1270.0,1303.891393559818,1303.891393559818,1303.891393559818
Gabe_Watts.NB,15.0,1883.0,1711.3754499008955,1711.3754499008955,1797.1877249504478
Gamebang,4.0,695.0,821.24963749164,728.6665699977707,728.6665699977707
Greta Thunberg,5.0,1686.0,883.9679618656168,1418.655987288539,1552.3279936442696
HGH_Caidenn2626,5.0,958.0,1255.6474247825458,1057.2158082608487,1057.2158082608487
HGH_Vorchek,1.0,953.0,815.8187600042558,943.8545840002837,948.4272920001418
HUCKLEBERRY.NB,5.0,1393.0,680.5983171623436,1155.532772387448,1274.266386193724
