ign,pfid,games,start,end,days,gpd,wins,damage,kills,wr,dpg,kpg,lp,mmr,go_rating,check
Legends_1,8F5542CC5FA8A54F,522,Wed Jan 03 2024 19:18:09 GMT-0500 (Eastern Standard Time),Thu Mar 07 2024 01:00:49 GMT-0500 (Eastern Standard Time),63.23796188,8.25453548,315,947279,4561,0.6034482759,1814.710728,8.737547893,4498.810345,4880.354167,1925,1
AngelicMessenger,68F25F83BA8EF327,507,Mon Dec 11 2023 19:01:32 GMT-0500 (Eastern Standard Time),Tue Mar 05 2024 19:01:44 GMT-0500 (Eastern Standard Time),85.00013861,5.964696156,275,920858,4347,0.5424063116,1816.287968,8.573964497,4300.903353,4943.290323,1890,1
kill2ride001,5E017E9235A63E96,507,Mon Jan 08 2024 19:21:58 GMT-0500 (Eastern Standard Time),Wed Mar 06 2024 19:22:38 GMT-0500 (Eastern Standard Time),58.00045303,8.741311033,391,828136,3979,0.7712031558,1633.404339,7.848126233,4731.82643,4994.871795,1802,1
Scanter,9CC35B4B3A8E41D1,500,Fri Oct 06 2023 20:11:02 GMT-0400 (Eastern Daylight Time),Mon Mar 04 2024 19:15:31 GMT-0500 (Eastern Standard Time),150.0031123,3.333264173,208,912510,3712,0.416,1825.02,7.424,3815.42,4948.697674,1740,1
GO_DrSmartAzz,B1937A74000CCAAB,524,Sat Feb 03 2024 19:06:38 GMT-0500 (Eastern Standard Time),Wed Mar 06 2024 19:07:06 GMT-0500 (Eastern Standard Time),32.0003303,16.37483098,315,863827,3970,0.6011450382,1648.524809,7.576335878,4209.593511,4984.193548,1729,1
FUGalicious:),2090516D59D5AD89,100,Fri Dec 15 2023 19:34:38 GMT-0500 (Eastern Standard Time),Mon Feb 12 2024 19:25:06 GMT-0500 (Eastern Standard Time),58.99337725,1.69510553,55,168435,729,0.55,1684.35,7.29,4063.35,4776.882353,1702,1
Galtus,C9CB40636352AC99,504,Thu Aug 04 2022 20:14:03 GMT-0400 (Eastern Daylight Time),Sat Nov 12 2022 19:14:51 GMT-0500 (Eastern Standard Time),100.0005549,5.039972034,383,789261,3580,0.7599206349,1565.994048,7.103174603,4556.073413,4989.666667,1692,1
VRS_avyn,DCED7D4643D84BF0,302,Thu Nov 02 2023 01:00:44 GMT-0400 (Eastern Daylight Time),Sun Mar 03 2024 00:00:46 GMT-0500 (Eastern Standard Time),122.0000156,2.47540952,165,484651,2288,0.5463576159,1604.804636,7.57615894,4001.493377,4959.546875,1691,1
That1VRFemboy,24D224D9FAFD69FE,504,Sat Dec 23 2023 00:01:44 GMT-0500 (Eastern Standard Time),Thu Mar 07 2024 00:02:21 GMT-0500 (Eastern Standard Time),75.00042612,6.71996182,228,839253,3790,0.4523809524,1665.184524,7.51984127,3774.311508,4938.679245,1685,1
Muffin66_SIN,B5B144F1BF9009A0,506,Thu Dec 21 2023 19:17:17 GMT-0500 (Eastern Standard Time),Wed Mar 06 2024 19:18:03 GMT-0500 (Eastern Standard Time),76.00053022,6.657848288,306,816250,3658,0.604743083,1613.142292,7.229249012,4150.296443,4977.561404,1679,1
Just a random,EF0D9C16069204AC,508,Wed Nov 29 2023 19:04:03 GMT-0500 (Eastern Standard Time),Thu Jan 18 2024 19:04:46 GMT-0500 (Eastern Standard Time),50.00050397,10.15989759,353,748797,3784,0.6948818898,1474.009843,7.448818898,4303.537402,4991.589744,1662,1
Gabe_Watts.NB,897EC5B9C24E425E,511,Mon Dec 18 2023 01:00:40 GMT-0500 (Eastern Standard Time),Sun Mar 03 2024 01:00:59 GMT-0500 (Eastern Standard Time),76.00022164,6.723664602,348,785650,3627,0.6810176125,1537.475538,7.097847358,4290.313112,4956.914286,1653,1
birthpoggers,3A12FF22C9B5169A,513,Fri Dec 29 2023 19:01:49 GMT-0500 (Eastern Standard Time),Tue Mar 05 2024 19:02:26 GMT-0500 (Eastern Standard Time),67.00042696,7.656667626,285,831637,3605,0.5555555556,1621.124756,7.027290448,3990.520468,4956.309091,1647,1
